trade_number,row_id,predicted_class,true_class,max_confidence,entry_price,future_return,spread_return,raw_trade_return,effective_raw_return,exit_reason,position_notional_usd,margin_required_usd,dynamic_sl_amount_usd,dynamic_tp_amount_usd,dynamic_sl_return,dynamic_tp_return,fee_cost,pnl,balance_before,balance_after,peak_balance,drawdown_pct,win_after_exit
41,2026-04-22 12:00:00,1,1,0.7278176614697051,1.1,0.0016858967120991,0.0001788207740691,0.0015070759380300001,0.0015070759380300001,final_horizon,1100.0,0.55,1.2220334635662287,2.4440669271324573,0.0011109395123329352,0.0022218790246658704,0.0,1.657783531833,12.220334635662285,13.878118167495284,21.822900614116392,-36.40571245365034,True
42,2026-04-22 12:04:00,1,0,0.6484453653367325,1.1,0.0004445154806793,0.0001787253512208,0.00026579012945850003,0.00026579012945850003,final_horizon,1100.0,0.55,1.3878118167495286,2.775623633499057,0.0012616471061359352,0.0025232942122718704,0.0,0.29236914240435,13.878118167495284,14.170487309899634,21.822900614116392,-35.065976973137595,True
43,2026-04-22 12:05:00,1,0,0.8550270782722725,1.1,0.0011556326999586,0.0001788905108295,0.0009767421891291,0.0009767421891291,final_horizon,1100.0,0.55,1.4170487309899635,2.834097461979927,0.001288226119081785,0.00257645223816357,0.0,1.07441640804201,14.170487309899634,15.244903717941645,21.822900614116392,-30.142633247936324,True
44,2026-04-22 12:06:00,1,0,0.7605719387839601,1.1,0.0001504337228988,0.0001787837114247,-2.8349988525899994e-05,-2.8349988525899994e-05,final_horizon,1100.0,0.55,1.5244903717941645,3.048980743588329,0.001385900337994695,0.00277180067598939,0.0,-0.031184987378489994,15.244903717941645,15.213718730563155,21.822900614116392,-30.285533533878684,False
45,2026-04-22 12:07:00,1,0,0.6800909364640335,1.1,-0.0001378779963567,0.0001787307360182,-0.0003166087323749,-0.0003166087323749,final_horizon,1100.0,0.55,1.5213718730563155,3.042743746112631,0.001383065339142105,0.00276613067828421,0.0,-0.34826960561239,15.213718730563155,14.865449124950764,21.822900614116392,-31.881424070020834,False
46,2026-04-22 12:08:00,1,0,0.5904948897350188,1.1,-0.0006168712499571,0.0001787292528849,-0.0007956005028420001,-0.0007956005028420001,final_horizon,1100.0,0.55,1.4865449124950765,2.973089824990153,0.001351404465904615,0.00270280893180923,0.0,-0.8751605531262001,14.865449124950764,13.990288571824564,21.822900614116392,-35.89170926813099,False
47,2026-04-22 12:15:00,-1,-1,0.9914935765206869,1.1,-0.0031169558496286,0.0001785198081116,0.002938436041517,0.00254368883124083,take_profit,1100.0,0.55,1.3990288571824565,2.798057714364913,0.001271844415620415,0.00254368883124083,0.0,2.798057714364913,13.990288571824564,16.788346286189476,21.822900614116392,-23.070051121757192,True
48,2026-04-22 12:16:00,-1,-1,0.9810286741392216,1.1,-0.003636814133485,0.0001784376458568,0.0034583764876282,0.003052426597488996,take_profit,1100.0,0.55,1.6788346286189477,3.3576692572378954,0.001526213298744498,0.003052426597488996,0.0,3.3576692572378954,16.788346286189476,20.14601554342737,21.822900614116392,-7.684061346108634,True
49,2026-04-22 12:17:00,-1,-1,0.9423135992096106,1.1,-0.0030073400523619,0.0001785528444998,0.0028287872078620996,0.0028287872078620996,final_horizon,1100.0,0.55,2.0146015543427374,4.029203108685475,0.0018314559584933976,0.003662911916986795,0.0,3.1116659286483097,20.14601554342737,23.25768147207568,23.25768147207568,0.0,True
50,2026-04-22 12:18:00,-1,-1,0.9099852645738304,1.1,-0.0023652799803095,0.000178540571113,0.0021867394091965,0.0021867394091965,final_horizon,1100.0,0.55,2.3257681472075684,4.651536294415137,0.0021143346792796077,0.004228669358559215,0.0,2.40541335011615,23.25768147207568,25.66309482219183,25.66309482219183,0.0,True
