timestamp,event,bar_time,ticket,symbol,predicted_class,confidence,probabilities,result
2026-04-23T23:02:02.248934,signal_skipped,1776956460,0,0.8224032294010827,"{""-1"": 0.15260245893202007, ""0"": 0.8224032294010827, ""1"": 0.024994311666897362}",threshold_or_filter
2026-04-23T23:03:02.522911,signal_skipped,1776956520,0,0.7758284657485965,"{""-1"": 0.18506005181536417, ""0"": 0.7758284657485965, ""1"": 0.039111482436039235}",threshold_or_filter
2026-04-23T23:04:02.781413,signal_skipped,1776956580,0,0.6971059734715124,"{""-1"": 0.2635710528434426, ""0"": 0.6971059734715124, ""1"": 0.039322973685045066}",threshold_or_filter
2026-04-23T23:05:03.015117,signal_skipped,1776956640,0,0.5035073846557736,"{""-1"": 0.4130179325281665, ""0"": 0.5035073846557736, ""1"": 0.08347468281605983}",threshold_or_filter
2026-04-23T23:06:03.289276,signal_skipped,1776956700,0,0.5439273535472796,"{""-1"": 0.3751939987975545, ""0"": 0.5439273535472796, ""1"": 0.08087864765516588}",threshold_or_filter
2026-04-23T23:07:01.490472,signal_skipped,1776956760,0,0.47595981809204746,"{""-1"": 0.4392026037207189, ""0"": 0.47595981809204746, ""1"": 0.08483757818723361}",threshold_or_filter
2026-04-23T23:08:03.912517,signal_skipped,1776956820,-1,0.43763740321739847,"{""-1"": 0.43763740321739847, ""0"": 0.41233222752978194, ""1"": 0.1500303692528196}",threshold_or_filter
2026-04-23T23:09:02.145280,signal_skipped,1776956880,0,0.44285227034029084,"{""-1"": 0.4083825604039411, ""0"": 0.44285227034029084, ""1"": 0.14876516925576816}",threshold_or_filter
2026-04-23T23:10:02.420753,signal_skipped,1776956940,-1,0.42038938283952454,"{""-1"": 0.42038938283952454, ""0"": 0.24430073915506714, ""1"": 0.3353098780054084}",threshold_or_filter
2026-04-23T23:11:05.840815,timeout_close,1050349095,BTCUSDm,15,0.01,78125.45,78093.37,0.32
